Date,Visitor,G_Vis,Home,G_Home,OT Ind
2022-05-02,Los Angeles Kings,4,Edmonton Oilers,3,0
2022-05-02,Boston Bruins,1,Carolina Hurricanes,5,0
2022-05-02,Tampa Bay Lightning,0,Toronto Maple Leafs,5,0
2022-05-02,St. Louis Blues,4,Minnesota Wild,0,0
2022-05-03,Dallas Stars,0,Calgary Flames,1,0
2022-05-03,Nashville Predators,2,Colorado Avalanche,7,0
2022-05-03,Washington Capitals,4,Florida Panthers,2,0
2022-05-03,Pittsburgh Penguins,4,New York Rangers,3,0
2022-05-04,Boston Bruins,2,Carolina Hurricanes,5,0
2022-05-04,Los Angeles Kings,0,Edmonton Oilers,6,0
2022-05-04,St. Louis Blues,2,Minnesota Wild,6,0
2022-05-04,Tampa Bay Lightning,5,Toronto Maple Leafs,3,0
2022-05-05,Washington Capitals,1,Florida Panthers,5,0
2022-05-05,Pittsburgh Penguins,2,New York Rangers,5,0
2022-05-05,Nashville Predators,1,Colorado Avalanche,2,1
2022-05-05,Dallas Stars,2,Calgary Flames,0,0
2022-05-06,Carolina Hurricanes,2,Boston Bruins,4,0
2022-05-06,Edmonton Oilers,8,Los Angeles Kings,2,0
2022-05-06,Minnesota Wild,5,St. Louis Blues,1,0
2022-05-06,Toronto Maple Leafs,5,Tampa Bay Lightning,2,0
2022-05-07,Calgary Flames,2,Dallas Stars,4,0
2022-05-07,Colorado Avalanche,7,Nashville Predators,3,0
2022-05-07,New York Rangers,4,Pittsburgh Penguins,7,0
2022-05-07,Florida Panthers,1,Washington Capitals,6,0
2022-05-08,Carolina Hurricanes,2,Boston Bruins,5,0
2022-05-08,Toronto Maple Leafs,3,Tampa Bay Lightning,7,0
2022-05-08,Edmonton Oilers,0,Los Angeles Kings,4,0
2022-05-08,Minnesota Wild,2,St. Louis Blues,5,0
2022-05-09,Calgary Flames,4,Dallas Stars,1,0
2022-05-09,Colorado Avalanche,5,Nashville Predators,3,0
2022-05-09,New York Rangers,2,Pittsburgh Penguins,7,0
2022-05-09,Florida Panthers,3,Washington Capitals,2,1
2022-05-10,Tampa Bay Lightning,3,Toronto Maple Leafs,4,0
2022-05-10,St. Louis Blues,5,Minnesota Wild,2,0
2022-05-10,Los Angeles Kings,5,Edmonton Oilers,4,1
2022-05-10,Boston Bruins,1,Carolina Hurricanes,5,0
2022-05-11,Dallas Stars,1,Calgary Flames,3,0
2022-05-11,Washington Capitals,3,Florida Panthers,5,0
2022-05-11,Pittsburgh Penguins,3,New York Rangers,5,0
2022-05-12,Carolina Hurricanes,2,Boston Bruins,5,0
2022-05-12,Edmonton Oilers,4,Los Angeles Kings,2,0
2022-05-12,Minnesota Wild,1,St. Louis Blues,5,0
2022-05-12,Toronto Maple Leafs,3,Tampa Bay Lightning,4,1
2022-05-13,Florida Panthers,4,Washington Capitals,3,1
2022-05-13,New York Rangers,5,Pittsburgh Penguins,3,0
2022-05-13,Calgary Flames,2,Dallas Stars,4,0
2022-05-14,Boston Bruins,2,Carolina Hurricanes,3,0
2022-05-14,Tampa Bay Lightning,2,Toronto Maple Leafs,1,0
2022-05-14,Los Angeles Kings,0,Edmonton Oilers,2,0
2022-05-15,Dallas Stars,2,Calgary Flames,3,1
2022-05-15,Pittsburgh Penguins,3,New York Rangers,4,1
2022-05-17,St. Louis Blues,2,Colorado Avalanche,3,1
2022-05-17,Tampa Bay Lightning,4,Florida Panthers,1,0
2022-05-18,New York Rangers,1,Carolina Hurricanes,2,1
2022-05-18,Edmonton Oilers,6,Calgary Flames,9,0
2022-05-19,St. Louis Blues,4,Colorado Avalanche,1,0
2022-05-19,Tampa Bay Lightning,2,Florida Panthers,1,0
2022-05-20,Edmonton Oilers,5,Calgary Flames,3,0
2022-05-20,New York Rangers,0,Carolina Hurricanes,2,0
2022-05-21,Colorado Avalanche,5,St. Louis Blues,2,0
2022-05-22,Calgary Flames,1,Edmonton Oilers,4,0
2022-05-22,Carolina Hurricanes,1,New York Rangers,3,0
2022-05-22,Florida Panthers,1,Tampa Bay Lightning,5,0
2022-05-23,Colorado Avalanche,6,St. Louis Blues,3,0
2022-05-23,Florida Panthers,0,Tampa Bay Lightning,2,0
2022-05-24,Calgary Flames,3,Edmonton Oilers,5,0
2022-05-24,Carolina Hurricanes,1,New York Rangers,4,0
2022-05-25,St. Louis Blues,5,Colorado Avalanche,4,1
2022-05-26,Edmonton Oilers,5,Calgary Flames,4,1
2022-05-26,New York Rangers,1,Carolina Hurricanes,3,0
2022-05-27,Colorado Avalanche,3,St. Louis Blues,2,0
2022-05-28,Carolina Hurricanes,2,New York Rangers,5,0
2022-05-30,New York Rangers,6,Carolina Hurricanes,2,0
2022-05-31,Edmonton Oilers,6,Colorado Avalanche,8,0
2022-06-01,Tampa Bay Lightning,2,New York Rangers,6,0
2022-06-02,Edmonton Oilers,0,Colorado Avalanche,4,0
2022-06-03,Tampa Bay Lightning,2,New York Rangers,3,0
2022-06-04,Colorado Avalanche,4,Edmonton Oilers,2,0
2022-06-05,New York Rangers,2,Tampa Bay Lightning,3,0
2022-06-06,Colorado Avalanche,6,Edmonton Oilers,5,1
2022-06-07,New York Rangers,1,Tampa Bay Lightning,4,0
2022-06-09,Tampa Bay Lightning,3,New York Rangers,1,0
2022-06-11,New York Rangers,1,Tampa Bay Lightning,2,0
2022-06-15,Tampa Bay Lightning,3,Colorado Avalanche,4,1
2022-06-18,Tampa Bay Lightning,0,Colorado Avalanche,7,0
2022-06-20,Colorado Avalanche,2,Tampa Bay Lightning,6,0
2022-06-22,Colorado Avalanche,3,Tampa Bay Lightning,2,1
2022-06-24,Tampa Bay Lightning,3,Colorado Avalanche,2,0
2022-06-26,Colorado Avalanche,2,Tampa Bay Lightning,1,0
