Date,Visitor,G_Vis,Home,G_Home,OT Ind
2013-10-01,Washington Capitals,4.0,Chicago Blackhawks,6.0,0
2013-10-01,Winnipeg Jets,5.0,Edmonton Oilers,4.0,0
2013-10-01,Toronto Maple Leafs,4.0,Montreal Canadiens,3.0,0
2013-10-02,Anaheim Ducks,1.0,Colorado Avalanche,6.0,0
2013-10-02,Buffalo Sabres,1.0,Detroit Red Wings,2.0,0
2013-10-02,Toronto Maple Leafs,3.0,Philadelphia Flyers,1.0,0
2013-10-03,Tampa Bay Lightning,1.0,Boston Bruins,3.0,0
2013-10-03,Florida Panthers,4.0,Dallas Stars,2.0,0
2013-10-03,Los Angeles Kings,3.0,Minnesota Wild,2.0,1
2013-10-03,New York Rangers,1.0,Phoenix Coyotes,4.0,0
2013-10-03,New Jersey Devils,0.0,Pittsburgh Penguins,3.0,0
2013-10-03,Vancouver Canucks,1.0,San Jose Sharks,4.0,0
2013-10-03,Nashville Predators,2.0,St. Louis Blues,4.0,0
2013-10-03,Calgary Flames,4.0,Washington Capitals,5.0,1
2013-10-04,Ottawa Senators,1.0,Buffalo Sabres,0.0,0
2013-10-04,Detroit Red Wings,3.0,Carolina Hurricanes,2.0,1
2013-10-04,Calgary Flames,4.0,Columbus Blue Jackets,3.0,0
2013-10-04,Nashville Predators,1.0,Colorado Avalanche,3.0,0
2013-10-04,New York Islanders,4.0,New Jersey Devils,3.0,1
2013-10-04,Los Angeles Kings,3.0,Winnipeg Jets,5.0,0
2013-10-05,Detroit Red Wings,1.0,Boston Bruins,4.0,0
2013-10-05,Tampa Bay Lightning,3.0,Chicago Blackhawks,2.0,1
2013-10-05,Washington Capitals,1.0,Dallas Stars,2.0,0
2013-10-05,Anaheim Ducks,4.0,Minnesota Wild,3.0,1
2013-10-05,Philadelphia Flyers,1.0,Montreal Canadiens,4.0,0
2013-10-05,Columbus Blue Jackets,3.0,New York Islanders,2.0,1
2013-10-05,Buffalo Sabres,1.0,Pittsburgh Penguins,4.0,0
2013-10-05,Phoenix Coyotes,1.0,San Jose Sharks,4.0,0
2013-10-05,Florida Panthers,0.0,St. Louis Blues,7.0,0
2013-10-05,Ottawa Senators,4.0,Toronto Maple Leafs,5.0,1
2013-10-05,Edmonton Oilers,2.0,Vancouver Canucks,6.0,0
2013-10-06,Philadelphia Flyers,1.0,Carolina Hurricanes,2.0,0
2013-10-06,Vancouver Canucks,5.0,Calgary Flames,4.0,1
2013-10-06,Anaheim Ducks,3.0,Winnipeg Jets,2.0,0
2013-10-07,New Jersey Devils,4.0,Edmonton Oilers,5.0,1
2013-10-07,New York Rangers,3.0,Los Angeles Kings,1.0,0
2013-10-08,Tampa Bay Lightning,3.0,Buffalo Sabres,2.0,1
2013-10-08,Minnesota Wild,2.0,Nashville Predators,3.0,0
2013-10-08,Phoenix Coyotes,1.0,New York Islanders,6.0,0
2013-10-08,Florida Panthers,1.0,Philadelphia Flyers,2.0,0
2013-10-08,Carolina Hurricanes,2.0,Pittsburgh Penguins,5.0,0
2013-10-08,New York Rangers,2.0,San Jose Sharks,9.0,0
2013-10-08,Colorado Avalanche,2.0,Toronto Maple Leafs,1.0,0
2013-10-08,New Jersey Devils,2.0,Vancouver Canucks,3.0,1
2013-10-09,Montreal Canadiens,2.0,Calgary Flames,3.0,0
2013-10-09,Ottawa Senators,3.0,Los Angeles Kings,4.0,1
2013-10-09,Chicago Blackhawks,2.0,St. Louis Blues,3.0,0
2013-10-10,New York Rangers,0.0,Anaheim Ducks,6.0,0
2013-10-10,Colorado Avalanche,2.0,Boston Bruins,0.0,0
2013-10-10,Columbus Blue Jackets,4.0,Buffalo Sabres,1.0,0
2013-10-10,Phoenix Coyotes,4.0,Detroit Red Wings,2.0,0
2013-10-10,Montreal Canadiens,4.0,Edmonton Oilers,1.0,0
2013-10-10,Winnipeg Jets,1.0,Minnesota Wild,2.0,0
2013-10-10,Toronto Maple Leafs,4.0,Nashville Predators,0.0,0
2013-10-10,Florida Panthers,2.0,Tampa Bay Lightning,7.0,0
2013-10-10,San Jose Sharks,4.0,Vancouver Canucks,1.0,0
2013-10-10,Carolina Hurricanes,3.0,Washington Capitals,2.0,0
2013-10-11,Los Angeles Kings,2.0,Carolina Hurricanes,1.0,1
2013-10-11,New Jersey Devils,2.0,Calgary Flames,3.0,0
2013-10-11,New York Islanders,2.0,Chicago Blackhawks,3.0,0
2013-10-11,Pittsburgh Penguins,3.0,Florida Panthers,6.0,0
2013-10-11,Phoenix Coyotes,2.0,Philadelphia Flyers,1.0,0
2013-10-11,Dallas Stars,4.0,Winnipeg Jets,1.0,0
2013-10-12,Boston Bruins,3.0,Columbus Blue Jackets,1.0,0
2013-10-12,Buffalo Sabres,1.0,Chicago Blackhawks,2.0,0
2013-10-12,Philadelphia Flyers,2.0,Detroit Red Wings,5.0,0
2013-10-12,Dallas Stars,1.0,Minnesota Wild,5.0,0
2013-10-12,New York Islanders,2.0,Nashville Predators,3.0,0
2013-10-12,Ottawa Senators,2.0,San Jose Sharks,3.0,0
2013-10-12,New York Rangers,3.0,St. Louis Blues,5.0,0
2013-10-12,Pittsburgh Penguins,5.0,Tampa Bay Lightning,4.0,0
2013-10-12,Edmonton Oilers,5.0,Toronto Maple Leafs,6.0,1
2013-10-12,Montreal Canadiens,4.0,Vancouver Canucks,1.0,0
2013-10-12,Colorado Avalanche,5.0,Washington Capitals,1.0,0
2013-10-13,Ottawa Senators,1.0,Anaheim Ducks,4.0,0
2013-10-13,Phoenix Coyotes,5.0,Carolina Hurricanes,3.0,0
2013-10-13,Los Angeles Kings,3.0,Florida Panthers,0.0,0
2013-10-13,New Jersey Devils,0.0,Winnipeg Jets,3.0,0
2013-10-14,Detroit Red Wings,3.0,Boston Bruins,2.0,0
2013-10-14,Minnesota Wild,2.0,Buffalo Sabres,1.0,0
2013-10-14,Edmonton Oilers,2.0,Washington Capitals,4.0,0
2013-10-15,Chicago Blackhawks,3.0,Carolina Hurricanes,2.0,1
2013-10-15,Dallas Stars,2.0,Colorado Avalanche,3.0,0
2013-10-15,Columbus Blue Jackets,1.0,Detroit Red Wings,2.0,0
2013-10-15,Florida Panthers,3.0,Nashville Predators,4.0,0
2013-10-15,Buffalo Sabres,4.0,New York Islanders,3.0,1
2013-10-15,Vancouver Canucks,3.0,Philadelphia Flyers,2.0,0
2013-10-15,Ottawa Senators,4.0,Phoenix Coyotes,3.0,1
2013-10-15,Edmonton Oilers,2.0,Pittsburgh Penguins,3.0,0
2013-10-15,San Jose Sharks,6.0,St. Louis Blues,2.0,0
2013-10-15,Los Angeles Kings,1.0,Tampa Bay Lightning,5.0,0
2013-10-15,Minnesota Wild,1.0,Toronto Maple Leafs,4.0,0
2013-10-15,Montreal Canadiens,3.0,Winnipeg Jets,0.0,0
2013-10-16,Calgary Flames,2.0,Anaheim Ducks,3.0,0
2013-10-16,New York Rangers,2.0,Washington Capitals,0.0,0
2013-10-17,Vancouver Canucks,3.0,Buffalo Sabres,0.0,0
2013-10-17,St. Louis Blues,3.0,Chicago Blackhawks,2.0,1
2013-10-17,Detroit Red Wings,4.0,Colorado Avalanche,2.0,0
2013-10-17,San Jose Sharks,3.0,Dallas Stars,4.0,1
2013-10-17,Boston Bruins,3.0,Florida Panthers,2.0,0
2013-10-17,Columbus Blue Jackets,3.0,Montreal Canadiens,5.0,0
2013-10-17,Los Angeles Kings,2.0,Nashville Predators,1.0,1
2013-10-17,Edmonton Oilers,2.0,New York Islanders,3.0,0
2013-10-17,New Jersey Devils,2.0,Ottawa Senators,5.0,0
2013-10-17,Pittsburgh Penguins,4.0,Philadelphia Flyers,1.0,0
2013-10-17,Minnesota Wild,1.0,Tampa Bay Lightning,3.0,0
2013-10-17,Carolina Hurricanes,3.0,Toronto Maple Leafs,2.0,0
2013-10-18,Phoenix Coyotes,2.0,Anaheim Ducks,3.0,1
2013-10-18,St. Louis Blues,3.0,Winnipeg Jets,4.0,1
2013-10-19,Colorado Avalanche,4.0,Buffalo Sabres,2.0,0
2013-10-19,Toronto Maple Leafs,1.0,Chicago Blackhawks,3.0,0
2013-10-19,Minnesota Wild,1.0,Florida Panthers,2.0,1
2013-10-19,Dallas Stars,2.0,Los Angeles Kings,5.0,0
2013-10-19,Nashville Predators,2.0,Montreal Canadiens,1.0,0
2013-10-19,New York Rangers,0.0,New Jersey Devils,4.0,0
2013-10-19,Carolina Hurricanes,4.0,New York Islanders,3.0,0
2013-10-19,Edmonton Oilers,3.0,Ottawa Senators,1.0,0
2013-10-19,Detroit Red Wings,2.0,Phoenix Coyotes,5.0,0
2013-10-19,Vancouver Canucks,3.0,Pittsburgh Penguins,4.0,1
2013-10-19,Calgary Flames,3.0,San Jose Sharks,6.0,0
2013-10-19,Boston Bruins,5.0,Tampa Bay Lightning,0.0,0
2013-10-19,Columbus Blue Jackets,1.0,Washington Capitals,4.0,0
2013-10-20,Dallas Stars,3.0,Anaheim Ducks,6.0,0
2013-10-20,Vancouver Canucks,1.0,Columbus Blue Jackets,3.0,0
2013-10-20,Nashville Predators,3.0,Winnipeg Jets,1.0,0
2013-10-21,San Jose Sharks,1.0,Detroit Red Wings,0.0,1
2013-10-21,Calgary Flames,3.0,Los Angeles Kings,2.0,0
2013-10-21,Colorado Avalanche,1.0,Pittsburgh Penguins,0.0,0
2013-10-22,New Jersey Devils,1.0,Columbus Blue Jackets,4.0,0
2013-10-22,Chicago Blackhawks,3.0,Florida Panthers,2.0,1
2013-10-22,Nashville Predators,0.0,Minnesota Wild,2.0,0
2013-10-22,Edmonton Oilers,4.0,Montreal Canadiens,3.0,0
2013-10-22,Vancouver Canucks,5.0,New York Islanders,4.0,1
2013-10-22,Calgary Flames,2.0,Phoenix Coyotes,4.0,0
2013-10-22,Anaheim Ducks,2.0,Toronto Maple Leafs,4.0,0
2013-10-22,Washington Capitals,5.0,Winnipeg Jets,4.0,1
2013-10-23,Boston Bruins,5.0,Buffalo Sabres,2.0,0
2013-10-23,Ottawa Senators,6.0,Detroit Red Wings,1.0,0
2013-10-24,San Jose Sharks,1.0,Boston Bruins,2.0,0
2013-10-24,Calgary Flames,1.0,Dallas Stars,5.0,0
2013-10-24,Washington Capitals,4.0,Edmonton Oilers,1.0,0
2013-10-24,Phoenix Coyotes,4.0,Los Angeles Kings,7.0,0
2013-10-24,Carolina Hurricanes,1.0,Minnesota Wild,3.0,0
2013-10-24,Anaheim Ducks,1.0,Montreal Canadiens,4.0,0
2013-10-24,Vancouver Canucks,3.0,New Jersey Devils,2.0,1
2013-10-24,Winnipeg Jets,2.0,Nashville Predators,3.0,1
2013-10-24,New York Rangers,1.0,Philadelphia Flyers,2.0,0
2013-10-24,Chicago Blackhawks,5.0,Tampa Bay Lightning,6.0,1
2013-10-25,Toronto Maple Leafs,2.0,Columbus Blue Jackets,5.0,0
2013-10-25,Carolina Hurricanes,2.0,Colorado Avalanche,4.0,0
2013-10-25,Buffalo Sabres,3.0,Florida Panthers,1.0,0
2013-10-25,Anaheim Ducks,2.0,Ottawa Senators,1.0,0
2013-10-25,New York Islanders,4.0,Pittsburgh Penguins,3.0,0
2013-10-25,Vancouver Canucks,3.0,St. Louis Blues,2.0,1
2013-10-26,New Jersey Devils,4.0,Boston Bruins,3.0,0
2013-10-26,Washington Capitals,2.0,Calgary Flames,5.0,0
2013-10-26,Minnesota Wild,5.0,Chicago Blackhawks,3.0,0
2013-10-26,Winnipeg Jets,2.0,Dallas Stars,1.0,1
2013-10-26,New York Rangers,3.0,Detroit Red Wings,2.0,1
2013-10-26,San Jose Sharks,2.0,Montreal Canadiens,0.0,0
2013-10-26,St. Louis Blues,6.0,Nashville Predators,1.0,0
2013-10-26,Philadelphia Flyers,5.0,New York Islanders,2.0,0
2013-10-26,Edmonton Oilers,4.0,Phoenix Coyotes,5.0,0
2013-10-26,Buffalo Sabres,2.0,Tampa Bay Lightning,3.0,0
2013-10-26,Pittsburgh Penguins,1.0,Toronto Maple Leafs,4.0,0
2013-10-27,Anaheim Ducks,4.0,Columbus Blue Jackets,3.0,0
2013-10-27,Winnipeg Jets,2.0,Colorado Avalanche,3.0,0
2013-10-27,Tampa Bay Lightning,4.0,Florida Panthers,3.0,1
2013-10-27,Edmonton Oilers,1.0,Los Angeles Kings,2.0,1
2013-10-27,San Jose Sharks,5.0,Ottawa Senators,2.0,0
2013-10-28,Dallas Stars,4.0,Buffalo Sabres,3.0,0
2013-10-28,Pittsburgh Penguins,3.0,Carolina Hurricanes,1.0,0
2013-10-28,Chicago Blackhawks,5.0,Minnesota Wild,1.0,0
2013-10-28,Montreal Canadiens,2.0,New York Rangers,0.0,0
2013-10-28,Washington Capitals,2.0,Vancouver Canucks,3.0,0
2013-10-29,Ottawa Senators,5.0,Chicago Blackhawks,6.0,0
2013-10-29,Toronto Maple Leafs,4.0,Edmonton Oilers,0.0,0
2013-10-29,Dallas Stars,1.0,Montreal Canadiens,2.0,0
2013-10-29,Tampa Bay Lightning,1.0,New Jersey Devils,2.0,0
2013-10-29,New York Rangers,3.0,New York Islanders,2.0,0
2013-10-29,Anaheim Ducks,3.0,Philadelphia Flyers,2.0,0
2013-10-29,Los Angeles Kings,1.0,Phoenix Coyotes,3.0,0
2013-10-29,Winnipeg Jets,2.0,St. Louis Blues,3.0,0
2013-10-30,Toronto Maple Leafs,4.0,Calgary Flames,2.0,0
2013-10-30,San Jose Sharks,3.0,Los Angeles Kings,4.0,1
2013-10-30,Boston Bruins,2.0,Pittsburgh Penguins,3.0,0
2013-10-30,Detroit Red Wings,2.0,Vancouver Canucks,1.0,0
2013-10-31,Anaheim Ducks,2.0,Boston Bruins,3.0,1
2013-10-31,Buffalo Sabres,0.0,New York Rangers,2.0,0
2013-10-31,Nashville Predators,4.0,Phoenix Coyotes,5.0,1
2013-11-01,Tampa Bay Lightning,3.0,Carolina Hurricanes,0.0,0
2013-11-01,Detroit Red Wings,4.0,Calgary Flames,3.0,0
2013-11-01,Colorado Avalanche,3.0,Dallas Stars,2.0,1
2013-11-01,St. Louis Blues,4.0,Florida Panthers,0.0,0
2013-11-01,Montreal Canadiens,3.0,Minnesota Wild,4.0,0
2013-11-01,New York Islanders,5.0,Ottawa Senators,4.0,1
2013-11-01,Washington Capitals,7.0,Philadelphia Flyers,0.0,0
2013-11-01,Columbus Blue Jackets,2.0,Pittsburgh Penguins,4.0,0
