Date,Visitor,G_Vis,Home,G_Home,OT Ind
2019-04-10,Pittsburgh Penguins,3,New York Islanders,4,1
2019-04-10,Dallas Stars,3,Nashville Predators,2,0
2019-04-10,St. Louis Blues,2,Winnipeg Jets,1,0
2019-04-10,Vegas Golden Knights,2,San Jose Sharks,5,0
2019-04-10,Columbus Blue Jackets,4,Tampa Bay Lightning,3,0
2019-04-11,Toronto Maple Leafs,4,Boston Bruins,1,0
2019-04-11,Colorado Avalanche,0,Calgary Flames,4,0
2019-04-11,Carolina Hurricanes,2,Washington Capitals,4,0
2019-04-12,Pittsburgh Penguins,1,New York Islanders,3,0
2019-04-12,Vegas Golden Knights,5,San Jose Sharks,3,0
2019-04-12,Columbus Blue Jackets,5,Tampa Bay Lightning,1,0
2019-04-12,St. Louis Blues,4,Winnipeg Jets,3,0
2019-04-13,Toronto Maple Leafs,1,Boston Bruins,4,0
2019-04-13,Carolina Hurricanes,3,Washington Capitals,4,1
2019-04-13,Dallas Stars,1,Nashville Predators,2,1
2019-04-13,Colorado Avalanche,3,Calgary Flames,2,1
2019-04-14,Tampa Bay Lightning,1,Columbus Blue Jackets,3,0
2019-04-14,New York Islanders,4,Pittsburgh Penguins,1,0
2019-04-14,Winnipeg Jets,6,St. Louis Blues,3,0
2019-04-14,San Jose Sharks,3,Vegas Golden Knights,6,0
2019-04-15,Boston Bruins,2,Toronto Maple Leafs,3,0
2019-04-15,Nashville Predators,3,Dallas Stars,2,0
2019-04-15,Washington Capitals,0,Carolina Hurricanes,5,0
2019-04-15,Calgary Flames,2,Colorado Avalanche,6,0
2019-04-16,Tampa Bay Lightning,3,Columbus Blue Jackets,7,0
2019-04-16,New York Islanders,3,Pittsburgh Penguins,1,0
2019-04-16,Winnipeg Jets,2,St. Louis Blues,1,1
2019-04-16,San Jose Sharks,0,Vegas Golden Knights,5,0
2019-04-17,Calgary Flames,2,Colorado Avalanche,3,1
2019-04-17,Nashville Predators,1,Dallas Stars,5,0
2019-04-17,Boston Bruins,6,Toronto Maple Leafs,4,0
2019-04-18,St. Louis Blues,3,Winnipeg Jets,2,0
2019-04-18,Vegas Golden Knights,2,San Jose Sharks,5,0
2019-04-18,Washington Capitals,1,Carolina Hurricanes,2,0
2019-04-19,Toronto Maple Leafs,2,Boston Bruins,1,0
2019-04-19,Colorado Avalanche,5,Calgary Flames,1,0
2019-04-20,Dallas Stars,5,Nashville Predators,3,0
2019-04-20,Winnipeg Jets,2,St. Louis Blues,3,0
2019-04-20,Carolina Hurricanes,0,Washington Capitals,6,0
2019-04-21,Boston Bruins,4,Toronto Maple Leafs,2,0
2019-04-21,San Jose Sharks,2,Vegas Golden Knights,1,0
2019-04-22,Washington Capitals,2,Carolina Hurricanes,5,0
2019-04-22,Nashville Predators,1,Dallas Stars,2,1
2019-04-23,Toronto Maple Leafs,1,Boston Bruins,5,0
2019-04-23,Vegas Golden Knights,4,San Jose Sharks,5,1
2019-04-24,Carolina Hurricanes,4,Washington Capitals,3,0
2019-04-25,Dallas Stars,2,St. Louis Blues,3,0
2019-04-25,Columbus Blue Jackets,2,Boston Bruins,3,1
2019-04-26,Carolina Hurricanes,1,New York Islanders,0,1
2019-04-26,Colorado Avalanche,2,San Jose Sharks,5,0
2019-04-27,Columbus Blue Jackets,3,Boston Bruins,2,0
2019-04-27,Dallas Stars,4,St. Louis Blues,2,0
2019-04-28,Carolina Hurricanes,2,New York Islanders,1,0
2019-04-28,Colorado Avalanche,4,San Jose Sharks,3,0
2019-04-29,St. Louis Blues,4,Dallas Stars,3,0
2019-04-30,San Jose Sharks,4,Colorado Avalanche,2,0
2019-04-30,Boston Bruins,1,Columbus Blue Jackets,2,0
2019-05-01,New York Islanders,2,Carolina Hurricanes,5,0
2019-05-01,St. Louis Blues,2,Dallas Stars,4,0
2019-05-02,Boston Bruins,4,Columbus Blue Jackets,1,0
2019-05-02,San Jose Sharks,0,Colorado Avalanche,3,0
2019-05-03,New York Islanders,2,Carolina Hurricanes,5,0
2019-05-03,Dallas Stars,2,St. Louis Blues,1,0
2019-05-04,Columbus Blue Jackets,3,Boston Bruins,4,0
2019-05-04,Colorado Avalanche,1,San Jose Sharks,2,0
2019-05-05,St. Louis Blues,4,Dallas Stars,1,0
2019-05-06,San Jose Sharks,3,Colorado Avalanche,4,1
2019-05-06,Boston Bruins,3,Columbus Blue Jackets,0,0
2019-05-07,Dallas Stars,1,St. Louis Blues,2,0
2019-05-08,Colorado Avalanche,2,San Jose Sharks,3,0
2019-05-09,Carolina Hurricanes,2,Boston Bruins,5,0
2019-05-11,St. Louis Blues,3,San Jose Sharks,6,0
2019-05-12,Carolina Hurricanes,2,Boston Bruins,6,0
2019-05-13,St. Louis Blues,4,San Jose Sharks,2,0
2019-05-14,Boston Bruins,2,Carolina Hurricanes,1,0
2019-05-15,San Jose Sharks,5,St. Louis Blues,4,1
2019-05-16,Boston Bruins,4,Carolina Hurricanes,0,0
2019-05-17,San Jose Sharks,1,St. Louis Blues,2,0
2019-05-19,St. Louis Blues,5,San Jose Sharks,0,0
2019-05-21,San Jose Sharks,1,St. Louis Blues,5,0
2019-05-27,St. Louis Blues,2,Boston Bruins,4,0
2019-05-29,St. Louis Blues,3,Boston Bruins,2,1
2019-06-01,Boston Bruins,7,St. Louis Blues,2,0
2019-06-03,Boston Bruins,2,St. Louis Blues,4,0
2019-06-06,St. Louis Blues,2,Boston Bruins,1,0
2019-06-09,Boston Bruins,5,St. Louis Blues,1,0
2019-06-12,St. Louis Blues,4,Boston Bruins,1,0
