Date,Visitor,G_Vis,Home,G_Home,OT Ind
2018-04-11,Los Angeles Kings,0,Vegas Golden Knights,1,0
2018-04-11,Philadelphia Flyers,0,Pittsburgh Penguins,7,0
2018-04-11,Minnesota Wild,2,Winnipeg Jets,3,0
2018-04-12,San Jose Sharks,3,Anaheim Ducks,0,0
2018-04-12,Toronto Maple Leafs,1,Boston Bruins,5,0
2018-04-12,Colorado Avalanche,2,Nashville Predators,5,0
2018-04-12,New Jersey Devils,2,Tampa Bay Lightning,5,0
2018-04-12,Columbus Blue Jackets,4,Washington Capitals,3,1
2018-04-13,Philadelphia Flyers,5,Pittsburgh Penguins,1,0
2018-04-13,Los Angeles Kings,1,Vegas Golden Knights,2,0
2018-04-13,Minnesota Wild,1,Winnipeg Jets,4,0
2018-04-14,San Jose Sharks,3,Anaheim Ducks,2,0
2018-04-14,New Jersey Devils,3,Tampa Bay Lightning,5,0
2018-04-14,Colorado Avalanche,4,Nashville Predators,5,0
2018-04-14,Toronto Maple Leafs,3,Boston Bruins,7,0
2018-04-15,Vegas Golden Knights,3,Los Angeles Kings,2,0
2018-04-15,Winnipeg Jets,2,Minnesota Wild,6,0
2018-04-15,Pittsburgh Penguins,5,Philadelphia Flyers,1,0
2018-04-15,Columbus Blue Jackets,5,Washington Capitals,4,1
2018-04-16,Boston Bruins,2,Toronto Maple Leafs,4,0
2018-04-16,Anaheim Ducks,1,San Jose Sharks,8,0
2018-04-16,Nashville Predators,3,Colorado Avalanche,5,0
2018-04-16,Tampa Bay Lightning,2,New Jersey Devils,5,0
2018-04-17,Washington Capitals,3,Columbus Blue Jackets,2,0
2018-04-17,Vegas Golden Knights,1,Los Angeles Kings,0,0
2018-04-17,Winnipeg Jets,2,Minnesota Wild,0,0
2018-04-18,Nashville Predators,3,Colorado Avalanche,2,0
2018-04-18,Tampa Bay Lightning,3,New Jersey Devils,1,0
2018-04-18,Pittsburgh Penguins,5,Philadelphia Flyers,0,0
2018-04-18,Anaheim Ducks,1,San Jose Sharks,2,0
2018-04-19,Washington Capitals,4,Columbus Blue Jackets,1,0
2018-04-19,Boston Bruins,3,Toronto Maple Leafs,1,0
2018-04-20,Colorado Avalanche,2,Nashville Predators,1,0
2018-04-20,Minnesota Wild,0,Winnipeg Jets,5,0
2018-04-20,Philadelphia Flyers,4,Pittsburgh Penguins,2,0
2018-04-21,Toronto Maple Leafs,4,Boston Bruins,3,0
2018-04-21,New Jersey Devils,1,Tampa Bay Lightning,3,0
2018-04-21,Columbus Blue Jackets,3,Washington Capitals,4,1
2018-04-22,Nashville Predators,5,Colorado Avalanche,0,0
2018-04-22,Pittsburgh Penguins,8,Philadelphia Flyers,5,0
2018-04-23,Washington Capitals,6,Columbus Blue Jackets,3,0
2018-04-23,Boston Bruins,1,Toronto Maple Leafs,3,0
2018-04-25,Toronto Maple Leafs,4,Boston Bruins,7,0
2018-04-26,Pittsburgh Penguins,3,Washington Capitals,2,0
2018-04-26,San Jose Sharks,0,Vegas Golden Knights,7,0
2018-04-27,Winnipeg Jets,4,Nashville Predators,1,0
2018-04-28,Boston Bruins,6,Tampa Bay Lightning,2,0
2018-04-28,San Jose Sharks,4,Vegas Golden Knights,3,0
2018-04-29,Winnipeg Jets,4,Nashville Predators,5,0
2018-04-29,Pittsburgh Penguins,1,Washington Capitals,4,0
2018-04-30,Vegas Golden Knights,4,San Jose Sharks,3,1
2018-04-30,Boston Bruins,2,Tampa Bay Lightning,4,0
2018-05-01,Washington Capitals,4,Pittsburgh Penguins,3,0
2018-05-01,Nashville Predators,4,Winnipeg Jets,7,0
2018-05-02,Tampa Bay Lightning,4,Boston Bruins,1,0
2018-05-02,Vegas Golden Knights,0,San Jose Sharks,4,0
2018-05-03,Washington Capitals,1,Pittsburgh Penguins,3,0
2018-05-03,Nashville Predators,2,Winnipeg Jets,1,0
2018-05-04,Tampa Bay Lightning,4,Boston Bruins,3,1
2018-05-04,San Jose Sharks,3,Vegas Golden Knights,5,0
2018-05-05,Winnipeg Jets,6,Nashville Predators,2,0
2018-05-05,Pittsburgh Penguins,3,Washington Capitals,6,0
2018-05-06,Boston Bruins,1,Tampa Bay Lightning,3,0
2018-05-06,Vegas Golden Knights,3,San Jose Sharks,0,0
2018-05-07,Washington Capitals,2,Pittsburgh Penguins,1,1
2018-05-07,Nashville Predators,4,Winnipeg Jets,0,0
2018-05-10,Winnipeg Jets,5,Nashville Predators,1,0
2018-05-11,Washington Capitals,4,Tampa Bay Lightning,2,0
2018-05-12,Vegas Golden Knights,2,Winnipeg Jets,4,0
2018-05-13,Washington Capitals,6,Tampa Bay Lightning,2,0
2018-05-14,Vegas Golden Knights,3,Winnipeg Jets,1,0
2018-05-15,Tampa Bay Lightning,4,Washington Capitals,2,0
2018-05-16,Winnipeg Jets,2,Vegas Golden Knights,4,0
2018-05-17,Tampa Bay Lightning,4,Washington Capitals,2,0
2018-05-18,Winnipeg Jets,2,Vegas Golden Knights,3,0
2018-05-19,Washington Capitals,2,Tampa Bay Lightning,3,0
2018-05-20,Vegas Golden Knights,2,Winnipeg Jets,1,0
2018-05-21,Tampa Bay Lightning,0,Washington Capitals,3,0
2018-05-23,Washington Capitals,4,Tampa Bay Lightning,0,0
2018-05-28,Washington Capitals,4,Vegas Golden Knights,6,0
2018-05-30,Washington Capitals,3,Vegas Golden Knights,2,0
2018-06-02,Vegas Golden Knights,1,Washington Capitals,3,0
2018-06-04,Vegas Golden Knights,2,Washington Capitals,6,0
2018-06-07,Washington Capitals,4,Vegas Golden Knights,3,0
