Date,Visitor,G_Vis,Home,G_Home,OT Ind
2016-10-12,St. Louis Blues,5,Chicago Blackhawks,2,0
2016-10-12,Calgary Flames,4,Edmonton Oilers,7,0
2016-10-12,Toronto Maple Leafs,4,Ottawa Senators,5,1
2016-10-12,Los Angeles Kings,1,San Jose Sharks,2,0
2016-10-13,Montreal Canadiens,4,Buffalo Sabres,1,0
2016-10-13,Boston Bruins,6,Columbus Blue Jackets,3,0
2016-10-13,Anaheim Ducks,2,Dallas Stars,4,0
2016-10-13,New Jersey Devils,1,Florida Panthers,2,1
2016-10-13,New York Islanders,3,New York Rangers,5,0
2016-10-13,Washington Capitals,2,Pittsburgh Penguins,3,1
2016-10-13,Minnesota Wild,2,St. Louis Blues,3,0
2016-10-13,Detroit Red Wings,4,Tampa Bay Lightning,6,0
2016-10-13,Carolina Hurricanes,4,Winnipeg Jets,5,1
2016-10-14,Edmonton Oilers,5,Calgary Flames,3,0
2016-10-14,Philadelphia Flyers,4,Los Angeles Kings,2,0
2016-10-14,Chicago Blackhawks,2,Nashville Predators,3,0
2016-10-15,Philadelphia Flyers,3,Arizona Coyotes,4,1
2016-10-15,San Jose Sharks,3,Columbus Blue Jackets,2,0
2016-10-15,Nashville Predators,3,Chicago Blackhawks,5,0
2016-10-15,Dallas Stars,5,Colorado Avalanche,6,0
2016-10-15,Detroit Red Wings,1,Florida Panthers,4,0
2016-10-15,Winnipeg Jets,3,Minnesota Wild,4,0
2016-10-15,Montreal Canadiens,3,Ottawa Senators,4,1
2016-10-15,Anaheim Ducks,2,Pittsburgh Penguins,3,0
2016-10-15,New York Rangers,2,St. Louis Blues,3,0
2016-10-15,New Jersey Devils,2,Tampa Bay Lightning,3,0
2016-10-15,Boston Bruins,1,Toronto Maple Leafs,4,0
2016-10-15,Calgary Flames,1,Vancouver Canucks,2,1
2016-10-15,New York Islanders,1,Washington Capitals,2,0
2016-10-16,Buffalo Sabres,6,Edmonton Oilers,2,0
2016-10-16,Anaheim Ducks,2,New York Islanders,3,1
2016-10-16,Carolina Hurricanes,3,Vancouver Canucks,4,1
2016-10-17,Ottawa Senators,1,Detroit Red Wings,5,0
2016-10-17,San Jose Sharks,4,New York Rangers,7,0
2016-10-17,Colorado Avalanche,4,Pittsburgh Penguins,3,1
2016-10-17,Boston Bruins,4,Winnipeg Jets,1,0
2016-10-18,Buffalo Sabres,3,Calgary Flames,4,1
2016-10-18,Philadelphia Flyers,4,Chicago Blackhawks,7,0
2016-10-18,Carolina Hurricanes,2,Edmonton Oilers,3,0
2016-10-18,Los Angeles Kings,3,Minnesota Wild,6,0
2016-10-18,Pittsburgh Penguins,0,Montreal Canadiens,4,0
2016-10-18,Anaheim Ducks,1,New Jersey Devils,2,0
2016-10-18,Dallas Stars,2,Nashville Predators,1,0
2016-10-18,San Jose Sharks,3,New York Islanders,2,0
2016-10-18,Arizona Coyotes,4,Ottawa Senators,7,0
2016-10-18,Florida Panthers,3,Tampa Bay Lightning,4,1
2016-10-18,St. Louis Blues,1,Vancouver Canucks,2,1
2016-10-18,Colorado Avalanche,0,Washington Capitals,3,0
2016-10-19,Detroit Red Wings,2,New York Rangers,1,0
2016-10-19,Toronto Maple Leafs,4,Winnipeg Jets,5,1
2016-10-20,New Jersey Devils,1,Boston Bruins,2,0
2016-10-20,Carolina Hurricanes,4,Calgary Flames,2,0
2016-10-20,Los Angeles Kings,4,Dallas Stars,3,1
