,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
67,60,Steve Mason,28,PHI,58,54,26,21,8,143,1556,1413,.908,2.66,3,8.2,3225,26,.481,11,106,-8.34,0,1,1,0,2017
69,61,Marek Mazanec,25,NSH,4,2,0,2,0,14,87,73,.839,4.73,0,-0.2,178,0,.000,2,,,0,1,1,0,2017
70,62,Curtis McElhinney,33,TOT,21,15,8,8,2,51,616,565,.917,2.70,1,3.9,1135,9,.600,0,96,2.31,0,0,0,0,2017
73,63,Zane McIntyre,24,BOS,8,3,0,4,1,22,155,133,.858,3.97,0,-0.1,333,0,.000,1,,,0,0,0,0,2017
74,64,Ryan Miller,36,VAN,54,54,18,29,6,150,1737,1587,.914,2.80,3,10.3,3212,26,.481,7,100,0.32,0,1,1,22,2017
75,65,Al Montoya,31,MTL,19,18,8,6,4,50,569,519,.912,2.67,2,3.3,1125,12,.667,2,102,-0.76,0,2,2,2,2017
76,66,Petr Mrázek,24,DET,50,44,18,21,9,145,1462,1317,.901,3.04,1,6.5,2858,19,.432,9,115,-18.48,0,0,0,2,2017
77,67,Matt Murray,22,PIT,49,47,32,10,4,111,1450,1339,.923,2.41,4,10.3,2766,26,.553,4,88,14.48,0,2,2,0,2017
78,68,Alex Nedeljkovic,21,CAR,1,0,0,0,0,0,17,17,1.000,0.00,0,0.3,30,0,,0,,,0,0,0,2,2017
79,69,Michal Neuvirth,28,PHI,28,24,11,11,1,64,586,522,.891,2.82,0,1.9,1364,10,.417,4,126,-13.29,0,0,0,2,2017
80,70,Antti Niemi,33,DAL,37,30,12,12,4,95,880,785,.892,3.30,0,3.0,1729,14,.467,7,125,-18.84,0,0,0,0,2017
81,71,Anders Nilsson,26,BUF,26,23,10,10,4,66,857,791,.923,2.67,1,6.0,1484,11,.478,2,89,8.17,0,0,0,0,2017
82,72,Ondřej Pavelec,29,WPG,8,8,4,4,0,26,233,207,.888,3.55,0,0.7,440,2,.250,2,,,0,0,0,0,2017
83,73,Justin Peters,30,ARI,3,1,0,1,0,7,70,63,.900,3.16,0,0.3,133,0,.000,0,,,0,0,0,0,2017
84,74,Calvin Pickard,24,COL,50,48,15,31,2,140,1461,1321,.904,2.98,2,7.1,2820,21,.438,11,111,-13.56,0,2,2,2,2017
85,75,Carey Price,29,MTL,62,62,37,20,5,138,1794,1656,.923,2.23,3,12.6,3708,38,.613,8,89,17.25,0,1,1,4,2017
86,76,Jonathan Quick,31,LAK,17,17,8,5,2,35,421,386,.917,2.26,2,2.7,931,11,.647,2,96,1.43,0,0,0,2,2017
