,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
18,19,Chris Driedger,20,OTT,1,0,0,0,0,0,10,10,1.000,0.00,0,0.2,23,0,,0,,,0,0,0,0,2015
19,20,Devan Dubnyk,28,TOT,58,55,36,14,4,115,1625,1510,.929,2.07,6,12.6,3328,36,.655,4,83,23.70,0,2,2,2,2015
22,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2015
23,21,Brian Elliott,29,STL,46,45,26,14,3,96,1150,1054,.917,2.26,5,7.2,2546,27,.600,8,98,2.16,0,3,3,0,2015
24,22,Dan Ellis,34,FLA,8,8,4,3,1,19,221,202,.914,2.34,1,1.3,486,4,.500,0,,,0,0,0,0,2015
25,23,Ray Emery,32,PHI,31,25,10,11,7,80,758,678,.894,3.06,0,2.7,1570,13,.520,6,124,-15.30,0,0,0,4,2015
26,24,Jhonas Enroth,26,TOT,50,44,18,26,2,145,1504,1359,.904,3.07,2,7.0,2834,20,.455,7,113,-16.63,0,0,0,0,2015
29,25,Viktor Fasth,32,EDM,26,24,6,15,3,76,681,605,.888,3.41,0,1.9,1336,9,.375,9,131,-17.87,0,0,0,0,2015
30,26,Marc-André Fleury,30,PIT,64,64,34,20,9,146,1831,1685,.920,2.32,10,12.2,3776,35,.547,6,93,10.28,0,1,1,6,2015
31,27,Anton Forsberg,22,CBJ,5,5,0,4,0,20,149,129,.866,4.69,0,0.0,256,0,.000,1,,,0,0,0,0,2015
32,28,John Gibson,21,ANA,23,21,13,8,0,58,674,616,.914,2.60,1,4.0,1340,13,.619,4,101,-0.47,0,0,0,0,2015
33,29,Thomas Greiss,29,PIT,20,18,9,6,3,50,546,496,.908,2.59,0,2.9,1159,8,.444,2,107,-3.40,0,0,0,0,2015
34,30,Troy Grosenick,25,SJS,2,2,1,1,0,3,58,55,.948,1.52,1,0.6,118,1,.500,1,,,0,0,0,0,2015
35,31,Philipp Grubauer,23,WSH,1,1,1,0,0,2,25,23,.920,1.85,0,0.2,65,1,1.000,0,,,0,0,0,0,2015
36,32,Jonas Gustavsson,30,DET,7,6,3,3,1,15,168,153,.911,2.56,1,0.9,351,3,.500,2,,,0,0,0,2,2015
37,33,Matt Hackett,24,BUF,5,4,0,4,1,18,155,137,.884,4.32,0,0.4,250,1,.250,1,,,0,0,0,0,2015
38,34,Jaroslav Halák,29,NYI,59,59,38,17,4,144,1673,1529,.914,2.43,6,9.9,3550,33,.559,7,101,-1.20,0,1,1,2,2015
39,35,Andrew Hammond,26,OTT,24,23,20,1,2,42,707,665,.941,1.79,3,6.5,1411,18,.783,1,70,18.34,0,1,1,0,2015
40,36,Jonas Hiller,32,CGY,52,44,26,19,4,113,1376,1263,.918,2.36,1,8.8,2871,23,.523,3,96,4.45,0,0,0,0,2015
41,37,Braden Holtby,25,WSH,73,72,41,20,10,157,2044,1887,.923,2.22,9,14.4,4247,43,.597,7,90,17.46,0,2,2,2,2015
42,38,Jimmy Howard,30,DET,53,50,23,13,11,121,1350,1229,.910,2.44,2,7.4,2971,26,.520,8,105,-5.77,0,1,1,2,2015
43,39,Michael Hutchinson,24,WPG,38,36,21,10,5,85,986,901,.914,2.38,2,5.8,2138,19,.528,7,101,-0.84,0,0,0,0,2015
44,40,Carter Hutton,29,NSH,18,17,6,7,4,44,450,406,.902,2.61,1,2.0,1010,6,.353,3,115,-5.59,0,0,0,0,2015
46,41,Chad Johnson,28,NYI,19,17,8,8,1,54,488,434,.889,3.08,0,1.4,1053,7,.412,6,130,-12.35,0,0,0,0,2015
47,42,Martin Jones,25,LAK,15,11,4,5,2,29,307,278,.906,2.24,3,1.5,775,5,.455,2,,,0,1,1,0,2015
48,43,Anton Khudobin,28,CAR,34,32,8,17,6,87,874,787,.900,2.72,1,3.8,1920,16,.500,9,117,-12.40,0,0,0,0,2015
49,44,Keith Kinkaid,25,NJD,19,13,6,5,4,40,469,429,.915,2.59,0,2.8,925,8,.615,0,100,0.03,0,0,0,0,2015
50,45,Darcy Kuemper,24,MIN,31,28,14,12,2,68,718,650,.905,2.60,3,3.5,1569,15,.536,7,111,-6.72,0,0,0,0,2015
51,46,Jason LaBarbera,35,ANA,5,2,2,0,1,9,99,90,.909,2.60,0,0.5,207,2,1.000,0,,,0,0,0,0,2015
52,47,Eddie Läck,27,VAN,41,35,18,13,4,95,1201,1106,.921,2.45,2,8.1,2324,18,.514,5,93,7.51,0,0,0,2,2015
53,48,Robin Lehner,23,OTT,25,24,9,12,3,74,779,705,.905,3.02,0,3.8,1471,11,.458,2,111,-7.51,0,1,1,0,2015
54,49,Kari Lehtonen,31,DAL,65,65,34,17,10,181,1875,1694,.903,2.94,5,8.7,3698,30,.462,12,113,-20.96,0,3,3,2,2015
55,50,Anders Lindbäck,26,TOT,26,22,6,16,2,73,798,725,.909,3.11,0,4.2,1408,8,.364,3,107,-4.89,0,1,1,4,2015
58,51,Henrik Lundqvist,32,NYR,46,46,30,13,3,103,1329,1226,.922,2.25,5,9.2,2743,29,.630,4,91,10.43,0,1,1,0,2015
59,52,Roberto Luongo*,35,FLA,61,61,28,19,12,138,1743,1605,.921,2.35,2,11.8,3528,36,.590,9,93,10.77,0,0,0,0,2015
60,53,Andrey Makarov,21,BUF,1,1,0,1,0,3,36,33,.917,3.00,0,0.2,60,1,1.000,0,,,0,0,0,0,2015
61,54,Jacob Markström,25,VAN,3,2,1,1,0,4,33,29,.879,3.09,0,0.1,78,1,.500,1,,,0,0,0,0,2015
62,55,Steve Mason,26,PHI,51,48,18,18,11,108,1490,1382,.928,2.25,3,11.3,2885,29,.604,4,85,19.18,0,3,3,2,2015
63,56,Marek Mazanec,23,NSH,2,1,0,1,0,4,47,43,.915,2.27,0,0.3,106,1,1.000,0,,,0,0,0,0,2015
64,57,Thomas McCollum,25,DET,2,0,1,0,0,1,25,24,.960,0.91,0,0.3,66,0,,0,,,0,0,0,0,2015
65,58,Curtis McElhinney,31,CBJ,32,28,12,14,2,82,949,867,.914,2.88,0,5.6,1710,12,.429,2,101,-1.00,0,0,0,0,2015
66,59,Mike McKenna,31,ARI,1,1,0,1,0,5,34,29,.853,5.00,0,0.0,60,0,.000,0,,,0,0,0,0,2015
67,60,Ryan Miller,34,VAN,45,45,29,15,1,107,1198,1091,.911,2.53,6,6.6,2542,22,.489,8,105,-4.75,0,0,0,0,2015
69,61,Al Montoya,29,FLA,20,13,6,7,2,49,453,404,.892,3.01,0,1.5,977,6,.462,3,127,-10.33,0,0,0,2,2015
70,62,Petr Mrázek,22,DET,29,26,16,9,2,63,768,705,.918,2.38,3,4.9,1585,15,.577,6,96,2.55,0,0,0,0,2015
71,63,Evgeni Nabokov,39,TBL,11,9,3,6,2,29,245,216,.882,3.14,0,0.5,553,5,.556,2,,,0,1,1,2,2015
72,64,Michal Neuvirth,26,TOT,32,32,7,20,4,92,1067,975,.914,2.98,0,6.3,1850,16,.500,4,101,-0.93,0,0,0,0,2015
75,65,Antti Niemi,31,SJS,61,61,31,23,7,155,1811,1656,.914,2.59,5,10.8,3588,32,.525,9,100,-0.43,0,3,3,0,2015
76,66,Joni Ortio,23,CGY,6,6,4,2,0,14,153,139,.908,2.52,1,0.8,333,3,.500,2,,,0,0,0,0,2015
77,67,Ondřej Pavelec,27,WPG,50,46,22,16,8,108,1353,1245,.920,2.28,5,9.0,2838,23,.500,5,94,7.48,0,0,0,2,2015
78,68,Justin Peters,28,WSH,12,9,3,6,1,35,294,259,.881,3.25,0,0.6,647,1,.111,3,,,0,0,0,0,2015
79,69,Calvin Pickard,22,COL,16,13,6,7,3,35,511,476,.932,2.35,0,4.1,895,9,.692,1,80,8.62,0,0,0,0,2015
80,70,Kevin Poulin,24,NYI,1,1,0,0,1,3,26,23,.885,2.77,0,0.1,65,0,.000,0,,,0,0,0,0,2015
81,71,Carey Price,27,MTL,66,66,44,16,6,130,1953,1823,.933,1.96,9,16.2,3977,39,.591,6,78,36.70,0,1,1,4,2015
82,72,Jonathan Quick,29,LAK,72,71,36,22,13,156,1896,1740,.918,2.24,6,12.1,4184,36,.507,9,96,5.83,0,1,1,18,2015
83,73,Antti Raanta,25,CHI,14,12,7,4,1,25,389,364,.936,1.89,2,3.3,792,8,.667,1,75,8.20,0,0,0,0,2015
84,74,Karri Rämö,28,CGY,34,32,15,9,3,75,852,777,.912,2.60,2,4.8,1731,14,.438,5,103,-2.28,0,0,0,0,2015
85,75,Tuukka Rask,27,BOS,70,67,34,21,13,156,2011,1855,.922,2.30,3,14.0,4063,42,.627,8,91,15.65,0,0,0,8,2015
86,76,James Reimer,26,TOR,35,27,9,16,1,93,1001,908,.907,3.16,0,5.1,1767,13,.481,7,109,-7.56,0,0,0,2,2015
87,77,Pekka Rinne,32,NSH,64,64,41,17,6,140,1807,1667,.923,2.18,4,12.6,3851,43,.672,7,91,14.23,0,1,1,8,2015
88,78,Jussi Rynnäs,27,DAL,2,1,0,1,0,7,44,37,.841,4.54,0,-0.1,92,0,.000,1,,,0,0,0,0,2015
89,79,Cory Schneider,28,NJD,69,68,26,31,9,148,1982,1834,.925,2.26,5,14.5,3924,41,.603,7,87,21.17,0,2,2,0,2015
90,80,Ben Scrivens,28,EDM,57,53,15,26,11,170,1542,1372,.890,3.16,1,4.6,3228,19,.358,13,129,-38.39,0,1,1,4,2015
92,81,Mackenzie Skapski,20,NYR,2,2,2,0,0,1,45,44,.978,0.50,1,0.6,119,2,1.000,0,,,0,0,0,0,2015
93,82,Mike Smith,32,ARI,62,61,14,42,5,187,1955,1768,.904,3.16,0,9.3,3556,29,.475,12,112,-20.13,0,1,1,10,2015
94,83,Alex Stalock,27,SJS,22,19,8,9,2,54,553,499,.902,2.62,2,2.5,1237,10,.526,1,114,-6.80,0,0,0,2,2015
95,84,Malcolm Subban,21,BOS,1,1,0,1,0,3,6,3,.500,5.76,0,-0.3,31,0,.000,1,,,0,0,0,0,2015
96,85,Niklas Svedberg,25,BOS,18,14,7,5,1,35,425,390,.918,2.33,2,2.7,900,9,.643,2,96,1.28,0,0,0,0,2015
97,86,Cam Talbot,27,NYR,36,34,21,9,4,77,1038,961,.926,2.21,5,7.6,2095,17,.500,2,87,11.60,0,0,0,0,2015
98,87,Dustin Tokarski,25,MTL,17,16,6,6,4,46,509,463,.910,2.75,0,2.7,1005,8,.500,1,106,-2.56,0,1,1,0,2015
99,88,Semyon Varlamov,26,COL,57,57,28,20,8,141,1791,1650,.921,2.56,5,12.2,3307,33,.579,6,92,11.87,0,0,0,4,2015
100,89,Andrei Vasilevskiy,20,TBL,16,13,7,5,1,34,415,381,.918,2.36,1,2.7,864,7,.538,1,96,1.42,0,0,0,0,2015
101,90,Cam Ward,30,CAR,51,50,22,24,5,121,1351,1230,.910,2.40,1,7.4,3026,26,.520,7,105,-5.69,0,0,0,4,2015
102,91,Jeff Zatkoff,27,PIT,1,0,0,1,0,1,17,16,.941,1.63,0,0.2,37,0,,0,,,0,0,0,0,2015
103,92,Rob Zepp,33,PHI,10,9,5,2,0,25,223,198,.888,2.89,0,0.6,519,1,.111,2,,,0,0,0,0,2015
0,1,Sami Aittokallio,21,COL,1,1,0,1,0,3,18,15,.833,4.50,0,-0.1,40,0,.000,1,,,0,0,0,0,2014
1,2,Frederik Andersen,24,ANA,28,24,20,5,0,60,783,723,.923,2.29,0,5.6,1569,12,.500,0,89,7.47,0,1,1,0,2014
2,3,Craig Anderson,32,OTT,53,52,25,16,8,150,1680,1530,.911,3.00,4,9.5,3000,26,.500,10,104,-5.24,0,1,1,2,2014
3,4,Richard Bachman,26,EDM,3,3,0,2,1,7,83,76,.916,3.03,0,0.5,139,1,.333,2,,,0,0,0,0,2014
4,5,Niklas Bäckström,35,MIN,21,19,5,11,2,55,546,491,.899,3.02,0,2.3,1094,9,.474,3,117,-7.95,0,0,0,0,2014
5,6,Jonathan Bernier,25,TOR,55,49,26,19,7,139,1787,1648,.922,2.70,1,12.6,3084,30,.612,5,90,15.07,0,1,1,4,2014
6,7,Reto Berra,27,TOT,31,29,9,18,3,88,820,732,.893,3.07,0,2.9,1720,14,.483,7,125,-17.34,0,0,0,2,2014
9,8,Martin Biron,36,NYR,2,1,0,1,0,9,38,29,.763,7.65,0,-0.5,71,0,.000,1,,,0,0,0,0,2014
10,9,Ben Bishop,27,TBL,63,63,37,14,7,133,1758,1625,.924,2.23,5,12.9,3586,38,.603,8,88,18.48,0,2,2,4,2014
11,10,Sergei Bobrovsky,25,CBJ,58,57,32,20,5,131,1699,1568,.923,2.38,5,12.1,3299,35,.614,5,89,15.40,0,1,1,2,2014
12,11,Martin Brodeur*,41,NJD,39,39,19,14,6,96,971,875,.901,2.51,3,4.4,2297,18,.462,8,115,-12.33,0,3,3,2,2014
13,12,Ilya Bryzgalov,33,TOT,32,30,12,9,8,81,891,810,.909,2.68,4,4.9,1814,16,.533,4,106,-4.23,0,0,0,0,2014
16,13,Peter Budaj,31,MTL,24,21,10,8,3,56,615,559,.909,2.51,1,3.4,1338,9,.429,3,106,-3.01,0,0,0,6,2014
17,14,Jack Campbell,22,DAL,1,1,0,1,0,6,47,41,.872,6.00,0,0.0,60,0,.000,0,,,0,0,0,0,2014
18,15,Scott Clemmensen,36,FLA,17,14,6,7,1,47,454,407,.896,3.08,0,1.8,914,6,.429,3,120,-7.88,0,1,1,0,2014
19,16,Corey Crawford,29,CHI,59,56,32,16,10,128,1533,1405,.917,2.26,2,9.8,3395,31,.554,6,97,4.09,0,1,1,0,2014
20,17,John Curry,29,MIN,2,1,1,0,0,4,57,53,.930,3.01,0,0.5,80,1,1.000,0,,,0,0,0,0,2014
21,18,Cédrick Desjardins,28,TBL,1,0,0,1,0,2,13,11,.846,6.65,0,0.0,18,0,,0,,,0,0,0,2,2014
22,19,Devan Dubnyk,27,TOT,34,31,11,18,3,103,945,842,.891,3.43,2,3.1,1802,11,.355,8,126,-21.57,0,0,0,6,2014
25,20,Brian Elliott,28,STL,31,25,18,6,2,53,681,628,.922,1.96,4,4.8,1624,15,.600,2,90,5.68,0,2,2,0,2014
26,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2014
27,21,Dan Ellis,33,TOT,20,16,5,11,0,62,514,452,.879,3.62,1,1.0,1027,4,.250,6,140,-17.71,0,1,1,0,2014
30,22,Ray Emery,31,PHI,28,21,9,12,2,69,711,642,.903,2.96,2,3.4,1398,11,.524,2,113,-7.74,0,0,0,31,2014
31,23,Jhonas Enroth,25,BUF,28,26,4,17,5,74,834,760,.911,2.82,0,4.8,1574,14,.538,3,103,-2.14,0,0,0,0,2014
32,24,Joacim Eriksson,23,VAN,1,0,,,,6,31,25,.806,9.99,0,-0.2,36,0,,0,,,0,0,0,0,2014
33,25,Viktor Fasth,31,TOT,12,12,5,5,2,33,340,307,.903,2.83,0,1.6,701,5,.417,2,113,-3.70,0,0,0,0,2014
36,26,Marc-André Fleury,29,PIT,64,64,39,18,5,150,1774,1624,.915,2.37,5,11.1,3792,33,.516,11,98,2.86,0,0,0,4,2014
37,27,John Gibson,20,ANA,3,3,3,0,0,4,87,83,.954,1.33,1,0.9,181,3,1.000,0,,,0,0,0,0,2014
38,28,Jean-Sébastien Giguère,36,COL,22,19,11,6,1,53,608,555,.913,2.62,2,3.6,1212,12,.632,4,101,-0.61,0,0,0,4,2014
39,29,Thomas Greiss,28,PHX,25,20,10,8,5,50,626,576,.920,2.29,2,4.3,1312,12,.600,2,93,3.94,0,0,0,0,2014
40,30,Philipp Grubauer,22,WSH,17,14,6,5,5,35,469,434,.925,2.38,0,3.5,883,9,.643,2,87,5.41,0,0,0,0,2014
41,31,Kristers Gudlevskis,21,TBL,1,1,1,0,0,2,38,36,.947,2.01,0,0.4,60,1,1.000,0,,,0,0,0,0,2014
42,32,Jonas Gustavsson,29,DET,27,26,16,5,4,68,735,667,.907,2.63,0,3.9,1551,13,.500,6,107,-4.67,0,0,0,0,2014
43,33,Matt Hackett,23,BUF,8,8,1,6,1,22,239,217,.908,3.10,0,1.3,426,4,.500,1,,,0,0,0,0,2014
44,34,Jaroslav Halák,28,TOT,52,50,29,13,7,110,1385,1275,.921,2.25,5,9.5,2939,30,.600,6,92,9.34,0,1,1,0,2014
47,35,Andrew Hammond,25,OTT,1,0,,,,0,11,11,1.000,0.00,0,0.2,35,0,,0,,,0,0,0,0,2014
48,36,Josh Harding,29,MIN,29,26,18,7,3,46,690,644,.933,1.66,3,5.8,1668,21,.808,3,77,13.45,0,0,0,0,2014
49,37,Cal Heeter,25,PHI,1,1,0,0,1,5,38,33,.868,4.69,0,0.0,64,0,.000,0,,,0,0,0,0,2014
50,38,Magnus Hellberg,22,NSH,1,0,,,,1,4,3,.750,4.92,0,-0.1,12,0,,0,,,0,0,0,0,2014
51,39,Jonas Hiller,31,ANA,50,50,29,13,7,120,1348,1228,.911,2.48,5,7.7,2909,27,.540,11,103,-3.85,0,2,2,0,2014
52,40,Braden Holtby,24,WSH,48,45,23,15,4,126,1475,1349,.915,2.85,4,9.0,2656,26,.578,7,99,1.10,0,2,2,7,2014
54,41,Jimmy Howard,29,DET,51,50,21,19,11,133,1482,1349,.910,2.66,2,8.3,3004,25,.500,7,104,-5.30,0,0,0,6,2014
55,42,Michael Hutchinson,23,WPG,3,3,2,1,0,5,88,83,.943,1.64,0,0.8,183,3,1.000,0,,,0,0,0,0,2014
56,43,Carter Hutton,28,NSH,40,34,20,11,4,91,1006,915,.910,2.62,1,5.6,2085,15,.441,8,105,-4.32,0,1,1,2,2014
57,44,Chad Johnson,27,BOS,27,23,17,4,3,53,708,655,.925,2.10,2,5.2,1511,15,.652,2,87,8.01,0,0,0,0,2014
58,45,Martin Jones,24,LAK,19,18,12,6,0,33,500,467,.934,1.81,4,4.2,1095,13,.722,1,77,10.08,0,1,1,0,2014
59,46,Nikolai Khabibulin,41,CHI,4,4,1,0,1,14,74,60,.811,5.01,0,-0.5,168,1,.250,3,,,0,0,0,0,2014
60,47,Anton Khudobin,27,CAR,36,34,19,14,1,80,1076,996,.926,2.30,1,8.0,2084,22,.647,2,86,12.72,0,0,0,0,2014
61,48,Connor Knapp,23,BUF,2,1,0,0,1,4,32,28,.875,3.14,0,0.0,77,0,.000,0,,,0,1,1,0,2014
62,49,Darcy Kuemper,23,MIN,26,25,12,8,4,60,702,642,.915,2.43,2,4.3,1480,12,.480,4,99,0.49,0,0,0,0,2014
63,50,Jason LaBarbera,34,EDM,7,4,1,3,0,19,146,127,.870,3.27,0,0.1,348,0,.000,3,,,0,0,0,0,2014
64,51,Eddie Läck,26,VAN,41,37,16,17,5,93,1052,959,.912,2.41,4,6.1,2319,20,.541,5,103,-2.35,0,0,0,0,2014
65,52,Nathan Lawson,30,OTT,1,0,,,,2,10,8,.800,10.11,0,-0.1,12,0,,0,,,0,0,0,0,2014
66,53,Robin Lehner,22,OTT,36,30,12,15,6,99,1141,1042,.913,3.06,1,6.8,1942,19,.633,5,101,-0.68,0,0,0,4,2014
67,54,Kari Lehtonen,30,DAL,65,64,33,20,10,153,1888,1735,.919,2.41,5,12.6,3804,36,.563,10,94,9.68,0,4,4,4,2014
68,55,Nathan Lieuwen,22,BUF,7,5,1,4,0,18,191,173,.906,2.97,0,1.0,363,2,.400,0,,,0,0,0,0,2014
69,56,Anders Lindbäck,25,TBL,23,18,8,12,2,63,580,517,.891,2.90,1,1.9,1302,6,.333,3,126,-13.02,0,0,0,2,2014
70,57,Henrik Lundqvist,31,NYR,63,62,33,24,5,144,1810,1666,.920,2.36,5,12.4,3655,36,.581,9,92,11.96,0,4,4,0,2014
71,58,Roberto Luongo*,34,TOT,56,56,25,23,7,129,1589,1460,.919,2.40,4,10.6,3222,29,.518,4,94,7.92,0,0,0,2,2014
74,59,Joey MacDonald,33,CGY,11,9,5,4,1,29,264,235,.890,2.91,0,0.8,599,2,.222,2,,,0,0,0,2,2014
75,60,Drew MacIntyre,30,TOR,2,1,0,1,0,4,51,47,.922,2.54,0,0.4,95,0,.000,0,,,0,0,0,0,2014
77,61,Jacob Markström,24,TOT,16,12,2,8,3,46,361,315,.873,3.39,0,0.4,814,3,.250,4,148,-14.89,0,0,0,0,2014
80,62,Steve Mason,25,PHI,61,60,33,18,7,145,1751,1606,.917,2.50,4,11.3,3486,35,.583,9,96,5.88,0,1,1,10,2014
81,63,Marek Mazanec,22,NSH,25,22,8,10,4,64,650,586,.902,2.80,2,3.0,1370,11,.500,6,114,-7.99,0,0,0,0,2014
82,64,Curtis McElhinney,30,CBJ,28,21,10,11,1,64,703,639,.909,2.70,2,3.8,1423,12,.571,3,106,-3.43,0,1,1,0,2014
83,65,Mike McKenna,30,CBJ,4,3,1,1,1,11,114,103,.904,3.01,0,0.5,219,0,.000,0,,,0,0,0,0,2014
84,66,Ryan Miller,33,TOT,59,59,25,30,4,154,1885,1731,.918,2.64,1,12.4,3501,36,.610,7,95,8.42,0,2,2,0,2014
87,67,Al Montoya,28,WPG,28,22,13,8,3,59,737,678,.920,2.30,2,5.0,1541,13,.591,1,93,4.50,0,0,0,2,2014
88,68,Petr Mrázek,21,DET,9,6,2,4,0,13,178,165,.927,1.74,2,1.4,449,4,.667,1,,,0,0,0,0,2014
89,69,Evgeni Nabokov,38,NYI,40,39,15,14,8,103,1085,982,.905,2.74,4,5.4,2254,16,.410,8,110,-9.51,0,1,1,4,2014
90,70,Michal Neuvirth,25,TOT,15,13,4,8,2,41,517,476,.921,2.78,0,3.6,884,9,.692,2,92,3.55,0,1,1,0,2014
93,71,Antti Niemi,30,SJS,64,64,39,17,7,149,1705,1556,.913,2.39,4,10.1,3740,30,.469,9,101,-2.09,0,2,2,0,2014
94,72,Anders Nilsson,23,NYI,19,17,8,7,2,57,548,491,.896,3.11,0,2.1,1101,6,.353,4,121,-9.78,0,0,0,2,2014
95,73,Cristopher Nilstorp,29,DAL,1,0,,,,3,17,14,.824,4.56,0,-0.1,39,0,,0,,,0,0,0,0,2014
96,74,Joni Ortio,22,CGY,9,9,4,4,0,21,193,172,.891,2.52,0,0.6,501,3,.333,1,,,0,2,2,0,2014
97,75,Ondřej Pavelec,26,WPG,57,57,22,26,7,163,1644,1481,.901,3.01,1,7.4,3248,24,.421,12,115,-21.34,0,3,3,0,2014
98,76,Justin Peters,27,CAR,21,20,7,9,4,51,626,575,.919,2.50,1,4.1,1225,11,.550,3,95,2.94,0,2,2,4,2014
99,77,Kevin Poulin,23,NYI,28,26,11,16,1,89,820,731,.891,3.29,0,2.8,1625,8,.308,8,126,-18.34,0,0,0,0,2014
100,78,Carey Price,26,MTL,59,59,34,20,5,134,1828,1694,.927,2.32,6,13.9,3464,38,.644,7,85,23.51,0,2,2,4,2014
101,79,Jonathan Quick,28,LAK,49,49,27,17,4,100,1183,1083,.915,2.07,6,7.4,2904,26,.531,6,98,1.93,0,2,2,2,2014
102,80,Antti Raanta,24,CHI,25,22,13,5,4,63,610,547,.897,2.71,1,2.4,1397,12,.545,6,120,-10.44,0,1,1,0,2014
104,81,Karri Rämö,27,CGY,40,37,17,15,4,97,1091,994,.911,2.65,2,6.2,2194,19,.514,5,103,-2.99,0,1,1,10,2014
105,82,Tuukka Rask,26,BOS,58,58,36,15,6,115,1641,1526,.930,2.04,7,13.1,3386,39,.672,8,81,26.40,0,2,2,2,2014
106,83,James Reimer,25,TOR,36,32,12,16,1,97,1094,997,.911,3.26,1,6.3,1785,16,.500,8,103,-2.73,0,0,0,2,2014
107,84,Pekka Rinne,31,NSH,24,24,10,10,3,63,645,582,.902,2.77,2,3.0,1367,12,.500,8,113,-7.42,0,0,0,0,2014
108,85,Cory Schneider,27,NJD,45,43,16,15,12,88,1107,1019,.921,1.97,3,7.6,2680,25,.581,4,92,7.39,0,0,0,4,2014
109,86,Ben Scrivens,27,TOT,40,35,16,16,4,94,1205,1111,.922,2.55,4,8.5,2210,22,.629,3,91,9.83,0,1,1,6,2014
112,87,Kent Simpson,21,CHI,1,0,,,,2,7,5,.714,6.00,0,-0.1,20,0,,0,,,0,0,0,0,2014
113,88,Mike Smith,31,PHX,62,61,27,21,10,159,1871,1712,.915,2.64,3,11.6,3610,35,.574,5,99,2.22,1,3,4,14,2014
114,89,Alex Stalock,26,SJS,24,18,12,5,2,39,571,532,.932,1.87,2,4.7,1252,12,.667,1,79,10.20,0,0,0,2,2014
115,90,Niklas Svedberg,24,BOS,1,1,1,0,0,2,35,33,.943,1.97,0,0.3,61,1,1.000,0,,,0,0,0,0,2014
116,91,Cam Talbot,26,NYR,21,19,12,6,1,33,560,527,.941,1.64,3,5.2,1211,16,.842,0,68,15.25,0,0,0,0,2014
117,92,Tim Thomas,39,TOT,48,45,18,24,4,128,1390,1262,.908,2.88,0,7.4,2663,25,.556,7,107,-8.23,0,1,1,4,2014
120,93,Dustin Tokarski,24,MTL,3,2,2,0,0,5,93,88,.946,1.84,1,0.9,163,2,1.000,0,,,0,0,0,0,2014
121,94,Semyon Varlamov,25,COL,63,60,41,14,6,146,2013,1867,.927,2.41,2,15.5,3640,44,.733,4,84,27.45,0,3,3,2,2014
122,95,Mark Visentin,21,PHX,1,1,0,1,0,3,32,29,.906,3.06,0,0.2,59,0,.000,0,,,0,0,0,0,2014
123,96,Cam Ward,29,CAR,30,28,10,12,6,84,824,740,.898,3.06,0,3.4,1645,11,.393,6,118,-13.00,0,1,1,2,2014
124,97,Jeff Zatkoff,26,PIT,20,18,12,6,2,51,582,531,.912,2.61,1,3.4,1171,9,.500,3,102,-0.85,0,1,1,0,2014
0,1,Sami Aittokallio,20,COL,1,1,0,0,0,2,25,23,.920,2.43,0,0.2,49,1,1.000,0,,,0,0,0,0,2013
1,2,Jake Allen,22,STL,15,13,9,4,0,33,346,313,.905,2.46,1,1.8,804,6,.462,4,108,-2.53,0,0,0,0,2013
2,3,Craig Anderson,31,OTT,24,24,12,9,2,40,677,637,.941,1.69,3,6.5,1421,17,.708,1,67,19.63,0,0,0,0,2013
3,4,Richard Bachman,25,DAL,13,8,6,5,0,33,288,255,.885,3.25,0,0.9,609,4,.500,3,130,-7.63,0,0,0,0,2013
4,5,Niklas Bäckström,34,MIN,42,41,24,15,3,98,1072,974,.909,2.48,2,6.2,2368,18,.439,8,104,-3.58,0,0,0,2,2013
5,6,Jonathan Bernier,24,LAK,14,12,9,3,1,24,306,282,.922,1.87,1,2.2,768,8,.667,1,89,2.95,0,1,1,0,2013
6,7,Martin Biron,35,NYR,6,5,2,2,1,13,156,143,.917,2.32,0,1.0,336,2,.400,1,,,0,0,0,0,2013
7,8,Ben Bishop,26,TOT,22,21,11,9,1,56,701,645,.920,2.67,2,5.0,1260,14,.667,3,91,5.74,0,0,0,2,2013
10,9,Sergei Bobrovsky,24,CBJ,38,37,21,11,6,74,1084,1010,.932,2.00,4,9.2,2219,26,.703,4,78,21.48,0,0,0,0,2013
11,10,Brian Boucher,36,PHI,4,1,0,2,0,6,55,49,.891,2.50,0,0.2,144,0,.000,0,,,0,0,0,0,2013
12,11,Martin Brodeur*,40,NJD,29,29,13,9,7,65,654,589,.901,2.22,2,3.1,1757,15,.517,6,113,-7.40,1,2,3,0,2013
13,12,Ilya Bryzgalov,32,PHI,40,40,19,17,3,107,1066,959,.900,2.79,1,5.0,2298,20,.500,10,114,-13.11,0,3,3,0,2013
14,13,Peter Budaj,30,MTL,13,10,8,1,1,25,273,248,.908,2.28,1,1.6,656,6,.600,2,104,-0.95,0,0,0,0,2013
