RK,PLAYER,AGE,TM,GOALIE_STATS_GP,GOALIE_STATS_GS,GOALIE_STATS_W,GOALIE_STATS_L,GOALIE_STATS_T/O,GOALIE_STATS_GA,SA,SV,SV%,GOALIE_STATS_GAA,GOALIE_STATS_SO,GPS,GOALIE_STATS_MIN,GOALIE_STATS_QS,GOALIE_STATS_QS%,GOALIE_STATS_RBS,GOALIE_STATS_GA%-,GOALIE_STATS_GSAA,SCORING_G,SCORING_A,SCORING_PTS,SCORING_PIM,SEASON
70,Andrew Raycroft,22,BOS,5,,2,3,0,12,146,134,.918,2.40,0,1.0,300,,,,,,0,0,0,0,2003
71,Mike Richter,36,NYR,13,,5,6,1,34,329,295,.897,2.94,0,1.5,694,,,,113,-4.01,0,0,0,0,2003
72,Dwayne Roloson,33,MIN,50,,23,16,8,98,1334,1236,.927,2.00,4,10.8,2945,,,,81,23.61,0,1,1,4,2003
73,Patrick Roy,37,COL,63,,35,15,13,137,1723,1586,.920,2.18,5,12.8,3769,,,,87,20.07,0,0,0,20,2003
74,Cody Rudkowsky,24,STL,1,,1,0,0,0,10,10,1.000,0.00,0,0.2,30,,,,,,0,0,0,0,2003
75,Tommy Salo,31,EDM,65,,29,27,8,172,1708,1536,.899,2.71,4,8.5,3814,,,,110,-16.29,0,0,0,4,2003
76,Curtis Sanford,23,STL,8,,5,1,0,13,148,135,.912,1.96,1,1.0,397,,,,,,0,0,0,0,2003
77,Corey Schwab,32,NJD,11,,5,3,1,15,223,208,.933,1.47,1,2.0,614,,,,,,0,0,0,0,2003
78,Steve Shields,30,BOS,36,,12,13,9,97,930,833,.896,2.76,0,4.3,2112,,,,114,-12.22,0,0,0,8,2003
79,Pēteris Skudra,29,VAN,23,,9,5,6,54,522,468,.897,2.72,1,2.4,1192,,,,113,-6.41,0,1,1,0,2003
80,Garth Snow,33,NYI,43,,16,17,5,92,1120,1028,.918,2.31,1,8.0,2390,,,,90,10.10,0,0,0,24,2003
81,Jamie Storr,27,LAK,39,,12,19,2,86,904,818,.905,2.55,3,5.1,2027,,,,104,-3.59,0,1,1,8,2003
82,Mikael Tellqvist,23,TOR,3,,1,1,0,4,38,34,.895,2.79,0,0.2,86,,,,,,0,0,0,0,2003
83,José Théodore,26,MTL,57,,20,31,6,165,1797,1632,.908,2.90,2,10.8,3419,,,,101,-1.18,0,2,2,6,2003
84,Jocelyn Thibault,28,CHI,62,,26,28,7,144,1690,1546,.915,2.33,8,11.4,3650,,,,93,10.06,0,0,0,4,2003
85,Tim Thomas,28,BOS,4,,3,1,0,11,118,107,.907,3.01,0,0.7,220,,,,,,0,0,0,0,2003
86,Vesa Toskala,25,SJS,11,,4,3,1,21,287,266,.927,2.35,1,2.3,537,,,,,,0,0,0,0,2003
87,Ron Tugnutt,35,DAL,31,,15,10,5,70,672,602,.896,2.47,4,3.1,1701,,,,114,-8.74,0,0,0,0,2003
88,Marty Turco,27,DAL,55,,31,10,10,92,1359,1267,.932,1.73,7,11.9,3203,,,,74,31.89,0,3,3,16,2003
89,Roman Turek,32,CGY,65,,27,29,9,164,1679,1515,.902,2.54,4,9.0,3822,,,,107,-10.94,0,4,4,14,2003
90,Tomáš Vokoun,26,NSH,69,,25,31,11,146,1771,1625,.918,2.21,3,12.5,3974,,,,90,15.45,0,1,1,28,2003
91,Kevin Weekes,27,CAR,51,,14,24,9,126,1438,1312,.912,2.50,5,9.3,2965,,,,96,5.09,0,0,0,2,2003
1,David Aebischer,23,COL,21,,13,6,0,37,538,501,.931,1.88,2,4.8,1184,,,,75,12.63,0,0,0,4,2002
2,Jean-Sébastien Aubin,24,PIT,21,,3,12,1,65,537,472,.879,3.56,0,1.5,1094,,,,131,-15.46,0,0,0,0,2002
3,Alex Auld,21,VAN,1,,1,0,0,2,22,20,.909,2.00,0,0.1,60,,,,,,0,1,1,0,2002
4,Tom Barrasso,36,TOT,38,,15,14,5,93,996,903,.907,2.62,2,6.0,2127,,,,101,-1.12,0,0,0,4,2002
5,Ed Belfour,36,DAL,60,,21,27,11,153,1458,1305,.895,2.65,1,6.9,3467,,,,114,-18.50,0,5,5,12,2002
6,Craig Billington,35,WSH,17,,4,5,3,36,295,259,.878,3.04,0,0.8,710,,,,,,0,0,0,0,2002
7,Martin Biron,24,BUF,72,,31,28,10,151,1781,1630,.915,2.22,4,12.5,4085,,,,92,13.30,0,1,1,8,2002
8,Dan Blackburn,18,NYR,31,,12,16,0,95,935,840,.898,3.32,0,4.8,1737,,,,110,-8.75,0,0,0,10,2002
9,Brian Boucher,25,PHI,41,,18,16,4,92,972,880,.905,2.41,2,5.7,2295,,,,103,-2.33,0,0,0,4,2002
10,Fred Brathwaite,29,STL,25,,9,11,4,54,543,489,.901,2.24,2,2.9,1446,,,,108,-3.91,0,0,0,0,2002
11,Martin Brochu,28,VAN,6,,0,3,0,15,104,89,.856,4.16,0,0.0,216,,,,,,0,0,0,0,2002
12,Martin Brodeur,29,NJD,73,,38,26,9,156,1655,1499,.906,2.15,4,9.8,4347,,,,102,-3.33,0,4,4,8,2002
13,Ilya Bryzgalov,21,MDA,1,,0,0,0,1,12,11,.917,1.87,0,0.1,32,,,,,,0,0,0,0,2002
14,Sean Burke,35,PHX,60,,33,21,6,137,1711,1574,.920,2.29,5,12.9,3587,,,,87,20.84,0,1,1,14,2002
15,Frédéric Cassivi,26,ATL,6,,2,3,0,17,207,190,.918,3.32,0,1.5,307,,,,,,0,0,0,0,2002
16,Roman Čechmánek,30,PHI,46,,24,13,6,89,1131,1042,.921,2.05,4,8.7,2603,,,,85,15.33,0,0,0,10,2002
17,Sébastien Centomo,20,TOR,1,,0,0,0,3,12,9,.750,4.50,0,-0.1,40,,,,,,0,0,0,0,2002
18,Sébastien Charpentier,24,WSH,2,,1,1,0,5,78,73,.936,2.46,0,0.7,122,,,,,,0,0,0,0,2002
19,Scott Clemmensen,24,NJD,2,,0,0,0,1,5,4,.800,2.95,0,0.0,20,,,,,,0,0,0,0,2002
20,Dan Cloutier,25,VAN,62,,31,22,5,142,1440,1298,.901,2.43,7,7.8,3502,,,,107,-9.16,0,0,0,20,2002
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2002
21,Ty Conklin,25,EDM,4,,2,0,0,4,66,62,.939,1.63,0,0.6,148,,,,,,0,0,0,0,2002
22,Byron Dafoe,30,BOS,64,,35,26,3,141,1520,1379,.907,2.21,4,9.3,3827,,,,101,-0.78,0,1,1,27,2002
23,Jean-François Damphousse,22,NJD,6,,1,3,0,12,115,103,.896,2.45,0,0.5,294,,,,,,0,0,0,0,2002
